P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HdrR	HNI	all	-0.770880469055354	-53.5517868314081	-1.87748646528521	-2.11779783332521	-1.6371750972452
HdrR	HNI	1	-0.868376157957604	-29.322192854921	-3.51654337738253	-4.8616820095261	-2.17140474523896
HdrR	HNI	2	-0.786253190767001	-10.5572769875463	-2.86987208144707	-5.00420120131692	-0.735542961577221
HdrR	HNI	3	-0.569156553076428	-6.32264708595155	-0.717845226861995	-1.12299447621499	-0.312695977509003
HdrR	HNI	4	-0.85730537494201	-25.2865127497915	-3.05812481498912	-4.42047041082012	-1.69577921915812
HdrR	HNI	5	-0.692748761756911	-8.13430657752392	-1.01404589269867	-1.64766810874681	-0.380423676650523
HdrR	HNI	6	-0.574793710857154	-6.69780758397289	-0.755836661037636	-1.18286245734147	-0.328810864733805
HdrR	HNI	7	-0.517616617862055	-6.40362276125499	-0.54531128015517	-0.785005029290645	-0.305617531019695
HdrR	HNI	8	-0.773301427740438	-9.96286464268268	-1.68125037302356	-2.8539263536753	-0.508574392371822
HdrR	HNI	9	-0.589345305682494	-4.99478959023479	-0.914509833187422	-1.64585225273538	-0.183167413639461
HdrR	HNI	10	-0.932131193860307	-70.6230860266793	-6.33788376573558	-8.47865947217	-4.19710805930116
HdrR	HNI	11	-0.535065093188389	-4.43509844871692	-0.637566296813956	-1.19184809208948	-0.0832845015384313
HdrR	HNI	12	-0.825998204617616	-26.1152635611197	-2.44565453988274	-3.8158304157011	-1.07547866406438
HdrR	HNI	13	-0.506136985015088	-4.53055774267553	-0.639922040542714	-1.09694777878414	-0.18289630230129
HdrR	HNI	14	-0.878384718078483	-32.6686674419626	-3.45489733427396	-5.18938214433416	-1.72041252421376
HdrR	HNI	15	-0.735947662582613	-10.4543313590842	-1.65610869526602	-2.54651240138717	-0.765704989144881
HdrR	HNI	16	-0.66992552633405	-9.96833118899065	-1.14633444436209	-1.68905312038556	-0.603615768338625
HdrR	HNI	17	-0.874932080330913	-14.5517404010273	-2.97529642707369	-5.23176951639887	-0.71882333774851
